Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
11	TR	A0A7K2NYR6	pH-gated potassium channel KcsA OS=Streptomyces sp. SID5926 OX=2690314 GN=kcsA PE=4 SV=1	Streptomyces sp. SID5926	160	479	95.9	97.9	1.3e-59
12	TR	A0A7H8PEJ0	Two pore domain potassium channel family protein OS=Streptomyces sp. NA03103 OX=2742134 GN=HUT15_34425 PE=4 SV=1	Streptomyces sp. NA03103	159	457	91.8	94.8	2.8e-56
13	TR	A0A3S8XZX4	Two pore domain potassium channel family protein OS=Streptomyces sp. KPB2 OX=2305221 GN=D1J63_35165 PE=4 SV=1	Streptomyces sp. KPB2	159	457	91.8	94.8	2.8e-56
14	TR	A0A6B2RQY0	Two pore domain potassium channel family protein OS=Streptomyces sp. SID10362 OX=2706021 GN=G3I36_36400 PE=4 SV=1	Streptomyces sp. SID10362	159	456	90.7	94.8	4e-56
15	TR	A0A6N9UC15	Two pore domain potassium channel family protein OS=Streptomyces coelicoflavus OX=285562 GN=G3I46_01310 PE=4 SV=1	Streptomyces coelicoflavus	167	451	89.7	94.8	3e-55
16	TR	A0A209B8R4	Voltage-gated potassium channel OS=Streptomyces sp. CS159 OX=1982762 GN=B9W64_35420 PE=4 SV=1	Streptomyces sp. CS159	167	451	89.7	94.8	3e-55
17	TR	A0A8I2DUK9	Two pore domain potassium channel family protein OS=Streptomyces sp. RM72 OX=1115510 GN=KBZ94_11845 PE=4 SV=1	Streptomyces sp. RM72	164	449	90.7	95.9	5.5e-55
18	TR	A0A2S6XG63	pH-gated potassium channel KcsA OS=Streptomyces sp. MH60 OX=1940758 GN=kcsA PE=4 SV=1	Streptomyces sp. MH60	161	448	90.7	95.9	7.1e-55
19	TR	A0A0N6ZUF2	Voltage-gated potassium channel OS=Streptomyces sp. CCM_MD2014 OX=1561022 GN=NI25_36350 PE=4 SV=1	Streptomyces sp. CCM_MD2014	156	446	91.8	94.8	1.2e-54
20	TR	A0A7K2MYW6	Voltage-gated potassium channel OS=Streptomyces sp. SID6013 OX=2690317 GN=GTW46_33750 PE=4 SV=1	Streptomyces sp. SID6013	159	446	91.8	94.8	1.3e-54
21	TR	A0A7K3PPG8	Two pore domain potassium channel family protein OS=Streptomyces coelicoflavus OX=285562 GN=G3I32_23295 PE=4 SV=1	Streptomyces coelicoflavus	167	446	88.7	93.8	1.7e-54
22	TR	A0A5P9WWY1	Voltage-gated potassium channel OS=Streptomyces sp. SYP-A7193 OX=2662065 GN=GEV49_36770 PE=4 SV=1	Streptomyces sp. SYP-A7193	167	445	87.6	94.8	2.4e-54
23	TR	A0A209B5A6	Voltage-gated potassium channel OS=Streptomyces sp. CS113 OX=1982761 GN=B9W62_38475 PE=4 SV=1	Streptomyces sp. CS113	164	442	89.7	93.8	6.4e-54
24	TR	A0A6B3QP05	Two pore domain potassium channel family protein OS=Streptomyces tendae OX=1932 GN=GUR47_23940 PE=4 SV=1	Streptomyces tendae	164	437	88.7	92.8	3.7e-53
25	TR	A0A6G3DK45	Voltage-gated potassium channel OS=Streptomyces sp. SID5914 OX=2690313 GN=GTY44_40090 PE=4 SV=1	Streptomyces sp. SID5914	164	437	88.7	92.8	3.7e-53
26	TR	A0A4V3EQJ3	Voltage-gated potassium channel OS=Streptomyces sp. BK208 OX=2512150 GN=EV562_101117 PE=4 SV=1	Streptomyces sp. BK208	161	433	87.6	91.8	1.4e-52
27	TR	A0A6G3XHP5	Voltage-gated potassium channel OS=Streptomyces sp. SID7499 OX=2706086 GN=G3M58_64085 PE=4 SV=1	Streptomyces sp. SID7499	164	426	85.6	91.8	1.7e-51
28	TR	A0A429AAZ0	Voltage-gated potassium channel OS=Streptomyces sp. WAC 01325 OX=2203202 GN=DMH25_30515 PE=4 SV=1	Streptomyces sp. WAC 01325	158	401	76.3	91.8	9.2e-48
29	TR	A0A1H4MIG5	Voltage-gated potassium channel OS=Streptomyces sp. PAN_FS17 OX=1855351 GN=SAMN05216482_1074 PE=4 SV=1	Streptomyces sp. PAN_FS17	158	400	76.3	90.7	1.3e-47
30	TR	A0A429HH79	Two pore domain potassium channel family protein OS=Streptomyces sp. WAC 05379 OX=2203207 GN=DMH26_25530 PE=4 SV=1	Streptomyces sp. WAC 05379	158	394	75.3	89.7	1.1e-46
31	TR	A0A8E3PRN1	PH-gated potassium channel KcsA OS=Streptomyces chartreusis OX=1969 GN=kcsA PE=4 SV=1	Streptomyces chartreusis	158	394	75.3	89.7	1.1e-46
32	TR	A0A7H8TLS5	Two pore domain potassium channel family protein OS=Streptomyces chartreusis OX=1969 GN=HUT05_47490 PE=4 SV=1	Streptomyces chartreusis	161	394	75.3	89.7	1.2e-46
33	TR	A0A177HXQ4	pH-gated potassium channel KcsA OS=Streptomyces jeddahensis OX=1716141 GN=kcsA_1 PE=4 SV=1	Streptomyces jeddahensis	167	387	71.1	85.6	1.6e-45
34	TR	A0A1H4VPS3	Voltage-gated potassium channel OS=Streptomyces sp. 3213.3 OX=1855348 GN=SAMN05216489_01740 PE=4 SV=1	Streptomyces sp. 3213.3	155	380	74.2	83.5	1.3e-44
35	TR	A0A6G2MAS9	Voltage-gated potassium channel OS=Streptomyces sp. SID4923 OX=2690273 GN=GTW64_16100 PE=4 SV=1	Streptomyces sp. SID4923	161	379	74.2	85.6	2.2e-44
36	TR	A0A6G2V752	Voltage-gated potassium channel OS=Streptomyces sp. SID2563 OX=2690255 GN=GT034_21810 PE=4 SV=1	Streptomyces sp. SID2563	161	379	74.2	85.6	2.2e-44
37	TR	A0A1Q5DGL3	Voltage-gated potassium channel OS=Streptomyces sp. CB01249 OX=1703929 GN=AMK18_29390 PE=4 SV=1	Streptomyces sp. CB01249	161	379	74.2	85.6	2.2e-44
38	TR	A0A974AZK8	Two pore domain potassium channel family protein OS=Streptomyces sp. PKU-EA00015 OX=2748326 GN=HW130_13950 PE=4 SV=1	Streptomyces sp. PKU-EA00015	151	377	71.1	84.5	3.3e-44
39	TR	A0A5P8KE15	Two pore domain potassium channel family protein OS=Streptomyces phaeolivaceus OX=2653200 GN=F9278_41025 PE=4 SV=1	Streptomyces phaeolivaceus	156	377	71.9	85.4	3.9e-44
40	TR	A0A327URW5	Voltage-gated potassium channel OS=Streptomyces sp. KhCrAH-43 OX=1305827 GN=K388_02991 PE=4 SV=1	Streptomyces sp. KhCrAH-43	161	377	73.2	84.5	4.5e-44
41	TR	A0A6G2Z0K7	Voltage-gated potassium channel OS=Streptomyces sp. SID8373 OX=2690353 GN=GTW90_29530 PE=4 SV=1	Streptomyces sp. SID8373	161	377	73.2	84.5	4.5e-44
42	TR	A0A7K2LI33	Voltage-gated potassium channel OS=Streptomyces sp. SID4920 OX=2690271 GN=GT025_22940 PE=4 SV=1	Streptomyces sp. SID4920	161	377	73.2	84.5	4.5e-44
43	TR	A0A6B2ZRM6	Potassium channel family protein OS=Streptomyces sp. SID7909 OX=2706092 GN=G3I26_08035 PE=4 SV=1	Streptomyces sp. SID7909	161	376	73.2	85.6	6.4e-44
44	TR	A0A7W0I8Y1	Two pore domain potassium channel family protein OS=Streptomyces himalayensis subsp. himalayensis OX=2756131 GN=H1D24_13610 PE=4 SV=1	Streptomyces himalayensis subsp. himalayensis	169	376	72.2	84.5	8.1e-44
45	TR	A0A7W2HJL6	Two pore domain potassium channel family protein OS=Streptomyces himalayensis subsp. aureolus OX=2758039 GN=H1V43_34010 PE=4 SV=1	Streptomyces himalayensis subsp. aureolus	169	376	72.2	84.5	8.1e-44
46	TR	A0A1Q5JKW5	Voltage-gated potassium channel OS=Streptomyces sp. CB02460 OX=1703941 GN=AMK30_27620 PE=4 SV=1	Streptomyces sp. CB02460	161	375	73.2	84.5	9e-44
47	TR	A0A7W9Q277	Voltage-gated potassium channel OS=Streptomyces echinatus OX=67293 GN=FHS34_007510 PE=4 SV=1	Streptomyces echinatus	150	374	70.1	83.5	9.2e-44
48	TR	A0A1H5HCD9	Voltage-gated potassium channel OS=Streptomyces sp. 2131.1 OX=1855346 GN=SAMN05216483_5739 PE=4 SV=1	Streptomyces sp. 2131.1	161	374	73.2	84.5	1.3e-43
49	TR	A0A6G3UWQ2	Potassium channel family protein OS=Streptomyces sp. SID9124 OX=2706108 GN=G3I33_32080 PE=4 SV=1	Streptomyces sp. SID9124	161	374	73.2	84.5	1.3e-43
50	TR	A0A944HGP6	Two pore domain potassium channel family protein OS=Streptomyces sp. ISL-10 OX=2819172 GN=J7E88_11190 PE=4 SV=1	Streptomyces sp. ISL-10	165	374	72.9	83.3	1.4e-43
51	TR	A0A5Q4TGC2	Voltage-gated potassium channel OS=Streptomyces sp. t39 OX=1828156 GN=EAO77_00085 PE=4 SV=1	Streptomyces sp. t39	150	372	71.9	83.3	1.8e-43
52	TR	A0A117EDB0	PH-gated potassium channel KcsA OS=Streptomyces scabiei OX=1930 GN=kcsA_1 PE=4 SV=1	Streptomyces scabiei	155	371	70.8	82.3	3.1e-43
53	TR	A0A285CDE3	Voltage-gated potassium channel OS=Streptomyces sp. TLI_55 OX=1938861 GN=SAMN06272735_7202 PE=4 SV=1	Streptomyces sp. TLI_55	151	370	70.1	84.5	3.8e-43
54	TR	A0A101Q4U6	Voltage-gated potassium channel OS=Streptomyces antibioticus OX=1890 GN=AQJ23_25375 PE=4 SV=1	Streptomyces antibioticus	151	370	70.1	84.5	3.8e-43
55	TR	A0A1V4E9I6	Voltage-gated potassium channel OS=Streptomyces sp. GKU 895 OX=1662404 GN=B1R27_06005 PE=4 SV=1	Streptomyces sp. GKU 895	151	368	71.1	84.5	7.7e-43
56	TR	A0A286EAI8	Voltage-gated potassium channel OS=Streptomyces sp. 1222.2 OX=1938833 GN=SAMN06272781_1281 PE=4 SV=1	Streptomyces sp. 1222.2	155	368	70.1	81.4	8.7e-43
57	TR	A0A8I0TVE7	Voltage-gated potassium channel OS=Streptomyces stelliscabiei OX=146820 GN=H4687_007906 PE=4 SV=1	Streptomyces stelliscabiei	155	368	70.1	81.4	8.7e-43
58	TR	A0A973K0Z5	Two pore domain potassium channel family protein OS=Streptomyces sp. OX=1931 GN=HOV82_28865 PE=4 SV=1	Streptomyces sp.	158	368	70.1	84.5	9.6e-43
59	TR	A0A0F5W2T6	Voltage-gated potassium channel OS=Streptomyces sp. WM6386 OX=1415558 GN=TN53_06675 PE=4 SV=1	Streptomyces sp. WM6386	148	367	70.1	82.5	1e-42
60	TR	A0A3Q9C4T7	Two pore domain potassium channel family protein OS=Streptomyces aquilus OX=2548456 GN=EJC51_39750 PE=4 SV=1	Streptomyces aquilus	151	367	70.1	83.5	1.1e-42
61	TR	A0A919DP69	PH-gated potassium channel KcsA OS=Streptomyces capitiformicae OX=2014920 GN=kcsA PE=4 SV=1	Streptomyces capitiformicae	158	367	68.8	82.3	1.4e-42
62	TR	A0A0M8TGD0	Voltage-gated potassium channel OS=Streptomyces sp. MMG1533 OX=1415546 GN=ADK57_44220 PE=4 SV=1	Streptomyces sp. MMG1533	155	366	72.9	83.3	1.8e-42
63	TR	A0A952G8U6	Two pore domain potassium channel family protein OS=Streptomyces turgidiscabies OX=85558 GN=JF621_25665 PE=4 SV=1	Streptomyces turgidiscabies	155	366	70.8	80.2	1.8e-42
64	TR	A0A426U2Z7	Two pore domain potassium channel family protein OS=Streptomyces sp. RP5T OX=2490848 GN=EHS43_36110 PE=4 SV=1	Streptomyces sp. RP5T	147	365	70.8	82.3	2e-42
65	TR	A0A552R9W4	Two pore domain potassium channel family protein OS=Streptomyces sp. 130 OX=2591006 GN=FKN01_13185 PE=4 SV=1	Streptomyces sp. 130	161	366	72.2	83.5	2.1e-42
66	TR	A0A6I7Y4V0	Two pore domain potassium channel family protein OS=Streptomyces sp. col6 OX=2478958 GN=EAO73_24925 PE=4 SV=1	Streptomyces sp. col6	161	366	71.1	82.5	2.1e-42
67	TR	A0A6B3B494	Two pore domain potassium channel family protein OS=Streptomyces sp. SID9727 OX=2706114 GN=G3I41_02575 PE=4 SV=1	Streptomyces sp. SID9727	161	366	72.2	83.5	2.1e-42
68	TR	C9Z6M3	Putative voltage-gated potassium channel OS=Streptomyces scabiei (strain 87.22) OX=680198 GN=kcsA PE=4 SV=1	Streptomyces scabiei (strain 87.22)	155	365	69.8	81.2	2.5e-42
69	TR	A0A6B2X6E0	Two pore domain potassium channel family protein OS=Streptomyces sp. SID13726 OX=2706058 GN=G3I78_09535 PE=4 SV=1	Streptomyces sp. SID13726	151	364	70.1	83.5	3.1e-42
70	TR	A0A7H0HM53	Two pore domain potassium channel family protein OS=Streptomyces genisteinicus OX=2768068 GN=IAG43_00895 PE=4 SV=1	Streptomyces genisteinicus	155	364	67.0	85.6	3.5e-42
71	TR	A0A086GKI9	Voltage-gated potassium channel OS=Streptomyces scabiei OX=1930 GN=IQ62_39200 PE=4 SV=1	Streptomyces scabiei	156	364	68.8	81.2	3.7e-42
72	TR	K4QYN4	Voltage-gated potassium channel OS=Streptomyces davaonensis (strain DSM 101723 / JCM 4913 / KCC S-0913 / 768) OX=1214101 GN=kcsA PE=4 SV=1	Streptomyces davaonensis (strain DSM 101723 / JCM 4913 / KCC S-0913 / 768)	155	363	71.1	82.5	5e-42
73	TR	A0A7Y3PTF0	Two pore domain potassium channel family protein OS=Streptomyces sp. S3(2020) OX=2732044 GN=HLK59_37855 PE=4 SV=1	Streptomyces sp. S3(2020)	148	362	69.1	82.5	5.8e-42
74	TR	A0A1J4NKS6	Voltage-gated potassium channel OS=Streptomyces mangrovisoli OX=1428628 GN=WN71_037250 PE=4 SV=1	Streptomyces mangrovisoli	153	362	72.2	83.5	6.7e-42
75	TR	L1KU36	Ion channel OS=Streptomyces ipomoeae 91-03 OX=698759 GN=STRIP9103_08629 PE=4 SV=1	Streptomyces ipomoeae 91-03	161	361	68.8	81.2	1.2e-41
76	TR	A0A540QQ94	Two pore domain potassium channel family protein OS=Streptomyces ipomoeae OX=103232 GN=Sipo7851_08250 PE=4 SV=1	Streptomyces ipomoeae	161	361	68.8	81.2	1.2e-41
77	TR	A0A1Q5KBE0	Voltage-gated potassium channel OS=Streptomyces sp. CB01883 OX=1703943 GN=AMK32_28785 PE=4 SV=1	Streptomyces sp. CB01883	152	360	68.8	84.4	1.3e-41
78	TR	A0A060ZQY3	Potassium channel domain-containing protein OS=Streptomyces iranensis OX=576784 GN=SIRAN5256 PE=4 SV=1	Streptomyces iranensis	182	362	68.8	82.3	1.6e-41
79	TR	A0A0A0NB44	Potassium channel domain-containing protein OS=Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994) OX=1343740 GN=D3C57_117655 PE=4 SV=1	Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994)	185	362	68.8	82.3	1.7e-41
80	TR	A0A7K2PXV3	Voltage-gated potassium channel OS=Streptomyces sp. SID5470 OX=2690297 GN=GT021_37060 PE=4 SV=1	Streptomyces sp. SID5470	147	358	67.0	82.5	2.3e-41
81	TR	A0A4S2TQD8	Two pore domain potassium channel family protein OS=Streptomyces sp. A0958 OX=2563101 GN=E6P78_25805 PE=4 SV=1	Streptomyces sp. A0958	161	359	69.1	83.5	2.4e-41
82	TR	A0A926GEB6	Two pore domain potassium channel family protein OS=Streptomyces sp. TRM68367 OX=2758415 GN=H8R17_12950 PE=4 SV=1	Streptomyces sp. TRM68367	161	359	68.8	80.2	2.4e-41
83	TR	A0A3N1HYP2	Voltage-gated potassium channel OS=Streptomyces sp. PanSC9 OX=1520461 GN=EDD94_7315 PE=4 SV=1	Streptomyces sp. PanSC9	152	358	68.8	84.4	2.6e-41
84	TR	B5HWC0	Voltage-gated potassium channel OS=Streptomyces sviceus (strain ATCC 29083 / DSM 924 / JCM 4929 / NBRC 13980 / NCIMB 11184 / NRRL 5439 / UC 5370) OX=463191 GN=SSEG_03705 PE=4 SV=1	Streptomyces sviceus (strain ATCC 29083 / DSM 924 / JCM 4929 / NBRC 13980 / NCIMB 11184 / NRRL 5439 / UC 5370)	162	358	67.0	82.5	3.6e-41
85	TR	A0A124HYE7	Voltage-gated potassium channel OS=Streptomyces griseorubiginosus OX=67304 GN=AQJ54_13940 PE=4 SV=1	Streptomyces griseorubiginosus	151	356	68.0	81.4	5.2e-41
86	TR	A0A385ZE03	pH-gated potassium channel KcsA OS=Streptomyces griseorubiginosus OX=67304 GN=kcsA_1 PE=4 SV=1	Streptomyces griseorubiginosus	151	356	68.0	81.4	5.2e-41
87	TR	A0A6H9USA3	Potassium channel family protein OS=Streptomyces luteolifulvus OX=2615112 GN=F7R91_32420 PE=4 SV=1	Streptomyces luteolifulvus	159	356	68.0	82.5	6.6e-41
88	TR	A0A4R3B3N7	Voltage-gated potassium channel OS=Streptomyces sp. BK205 OX=2512164 GN=EV578_107264 PE=4 SV=1	Streptomyces sp. BK205	151	355	67.0	81.4	7.3e-41
89	TR	A0A7X1M9E7	Two pore domain potassium channel family protein OS=Streptomyces cupreus OX=2759956 GN=H4N64_02835 PE=4 SV=1	Streptomyces cupreus	155	355	68.0	81.4	8.3e-41
90	TR	M3ESU2	KcsA protein OS=Streptomyces bottropensis ATCC 25435 OX=1054862 GN=SBD_6685 PE=4 SV=1	Streptomyces bottropensis ATCC 25435	155	355	68.0	79.4	8.3e-41
91	TR	A0A7K3EHV2	Voltage-gated potassium channel OS=Streptomyces sp. SID5476 OX=2690302 GN=GTY82_36290 PE=4 SV=1	Streptomyces sp. SID5476	155	355	68.0	79.4	8.3e-41
92	TR	A0A0L8KUF4	Voltage-gated potassium channel OS=Streptomyces resistomycificus OX=67356 GN=ADK37_37430 PE=4 SV=1	Streptomyces resistomycificus	155	355	67.0	82.5	8.3e-41
93	TR	A0A6G2IA45	Voltage-gated potassium channel OS=Streptomyces sp. HUCO-GS316 OX=2692198 GN=GR925_14055 PE=4 SV=1	Streptomyces sp. HUCO-GS316	159	353	67.0	82.5	1.9e-40
94	TR	A0A4S2UTY6	Two pore domain potassium channel family protein OS=Streptomyces sp. A0642 OX=2563100 GN=E6R60_15425 PE=4 SV=1	Streptomyces sp. A0642	161	352	67.0	81.4	2.8e-40
95	TR	A0AA49XXS2	Potassium channel family protein OS=Streptomyces sp. Mut1 OX=3033811 GN=P8A18_02415 PE=4 SV=1	Streptomyces sp. Mut1	161	352	67.0	82.5	2.8e-40
96	TR	A0A6I5HRS8	Voltage-gated potassium channel OS=Streptomyces sp. SID4913 OX=2690266 GN=GT035_13390 PE=4 SV=1	Streptomyces sp. SID4913	161	352	67.0	82.5	2.8e-40
97	TR	A0A0N0T5B0	Voltage-gated potassium channel OS=Streptomyces sp. NRRL WC-3618 OX=1519490 GN=ADL01_16270 PE=4 SV=1	Streptomyces sp. NRRL WC-3618	155	350	68.8	79.2	4.8e-40
98	TR	A0A124HAE5	Voltage-gated potassium channel OS=Streptomyces pseudovenezuelae OX=67350 GN=AQI94_15145 PE=4 SV=1	Streptomyces pseudovenezuelae	147	348	66.7	80.2	7.5e-40
99	TR	A0A4S2RG96	Voltage-gated potassium channel OS=Streptomyces sp. A1277 OX=2563103 GN=E6R18_20965 PE=4 SV=1	Streptomyces sp. A1277	161	349	68.0	81.4	8.1e-40
100	TR	A0A1C4RZ98	Voltage-gated potassium channel OS=Streptomyces sp. SolWspMP-5a-2 OX=1838281 GN=GA0115242_135812 PE=4 SV=1	Streptomyces sp. SolWspMP-5a-2	155	348	66.0	78.4	9.6e-40
101	TR	A0A7K2GCM8	Voltage-gated potassium channel OS=Streptomyces sp. SID4950 OX=2690288 GN=GTY92_31030 PE=4 SV=1	Streptomyces sp. SID4950	155	348	66.0	78.4	9.6e-40
102	TR	A0A2T5B3Z7	Voltage-gated potassium channel OS=Streptomyces sp. VMFN-G11Ma OX=2135609 GN=C7821_10782 PE=4 SV=1	Streptomyces sp. VMFN-G11Ma	164	348	68.0	81.4	1.3e-39
103	TR	S2YRG1	Potassium channel domain-containing protein OS=Streptomyces sp. HGB0020 OX=1078086 GN=HMPREF1211_01273 PE=4 SV=1	Streptomyces sp. HGB0020	164	347	67.0	81.4	1.8e-39
104	TR	A0A3N5A0P5	Voltage-gated potassium channel OS=Streptomyces sp. TLI_185 OX=2485151 GN=EDD92_8036 PE=4 SV=1	Streptomyces sp. TLI_185	155	345	68.0	79.4	2.7e-39
105	TR	A0A3N1SMP7	Voltage-gated potassium channel OS=Streptomyces sp. 840.1 OX=2485152 GN=EDD93_6029 PE=4 SV=1	Streptomyces sp. 840.1	161	344	66.0	81.4	4.6e-39
106	TR	A0A3Q9KP49	Two pore domain potassium channel family protein OS=Streptomyces griseoviridis OX=45398 GN=DDJ31_34345 PE=4 SV=1	Streptomyces griseoviridis	155	343	66.0	78.4	5.5e-39
107	TR	A0A1Q5MU99	Voltage-gated potassium channel OS=Streptomyces sp. CB02488 OX=1703920 GN=AMK09_19170 PE=4 SV=1	Streptomyces sp. CB02488	162	343	70.4	79.6	6.8e-39
108	TR	A0A7H8IYN7	Two pore domain potassium channel family protein OS=Streptomyces sp. NA02950 OX=2742137 GN=HUT19_21145 PE=4 SV=1	Streptomyces sp. NA02950	173	342	65.6	78.1	1.3e-38
109	TR	A0A6B3EQ56	Two pore domain potassium channel family protein OS=Streptomyces sp. SID11233 OX=2706029 GN=G3I76_37325 PE=4 SV=1	Streptomyces sp. SID11233	162	335	67.3	78.6	1.1e-37
110	TR	A0A640T8P0	pH-gated potassium channel KcsA OS=Streptomyces glebosus OX=249580 GN=kcsA PE=4 SV=1	Streptomyces glebosus	159	332	63.5	81.2	2.9e-37
111	TR	A0A1H5HU04	Ion channel OS=Streptomyces sp. 2231.1 OX=1855347 GN=SAMN05216532_7725 PE=4 SV=1	Streptomyces sp. 2231.1	191	334	63.5	79.2	3.6e-37
112	TR	A0A2U8VIZ1	Voltage-gated potassium channel OS=Streptomyces sp. NEAU-S7GS2 OX=2202000 GN=DKG71_03305 PE=4 SV=1	Streptomyces sp. NEAU-S7GS2	164	329	62.5	81.2	9.6e-37
113	TR	A0A212T3S5	Voltage-gated potassium channel OS=Streptomyces sp. 2114.4 OX=1938836 GN=SAMN06272741_0276 PE=4 SV=1	Streptomyces sp. 2114.4	164	329	62.5	80.2	9.6e-37
114	TR	A0A2A3IA07	Voltage-gated potassium channel OS=Streptomyces sp. 2321.6 OX=1938840 GN=BX261_0274 PE=4 SV=1	Streptomyces sp. 2321.6	164	329	62.5	80.2	9.6e-37
115	TR	A0A6G2R149	Voltage-gated potassium channel OS=Streptomyces sp. SID4951 OX=2690289 GN=GTY76_02880 PE=4 SV=1	Streptomyces sp. SID4951	164	329	62.5	81.2	9.6e-37
116	TR	A0A1C6LQY6	Voltage-gated potassium channel OS=Streptomyces sp. SceaMP-e96 OX=1100824 GN=YWIDRAFT_00585 PE=4 SV=1	Streptomyces sp. SceaMP-e96	164	329	62.5	81.2	9.6e-37
117	TR	A0A5J4LQ64	pH-gated potassium channel KcsA OS=Streptomyces angustmyceticus OX=285578 GN=kcsA PE=4 SV=1	Streptomyces angustmyceticus	165	329	62.5	80.2	9.9e-37
118	TR	A0A0P4R5M1	Potassium channel domain-containing protein OS=Streptomyces lydicamycinicus OX=1546107 GN=TPA0598_03_05750 PE=4 SV=1	Streptomyces lydicamycinicus	165	329	62.5	81.2	9.9e-37
119	TR	A0A640SAI3	pH-gated potassium channel KcsA OS=Streptomyces caniferus OX=285557 GN=kcsA PE=4 SV=1	Streptomyces caniferus	165	329	62.5	80.2	9.9e-37
120	TR	A0A640TVG5	pH-gated potassium channel KcsA OS=Streptomyces libani subsp. libani OX=68044 GN=kcsA PE=4 SV=1	Streptomyces libani subsp. libani	165	329	62.5	81.2	9.9e-37
121	TR	A0A0L8LV91	Voltage-gated potassium channel OS=Streptomyces decoyicus OX=249567 GN=ADK74_18250 PE=4 SV=1	Streptomyces decoyicus	165	328	62.5	80.2	1.4e-36
122	TR	A0A371PX14	Voltage-gated potassium channel OS=Streptomyces inhibens OX=2293571 GN=DY245_29130 PE=4 SV=1	Streptomyces inhibens	164	327	63.5	80.2	1.9e-36
123	TR	A0A640V329	pH-gated potassium channel KcsA OS=Streptomyces tubercidicus OX=47759 GN=kcsA PE=4 SV=1	Streptomyces tubercidicus	165	327	62.5	81.2	2e-36
124	TR	A0A1Y2N0C5	pH-gated potassium channel KcsA OS=Streptomyces platensis OX=58346 GN=kcsA_2 PE=4 SV=1	Streptomyces platensis	158	323	61.5	80.2	6.6e-36
125	TR	A0A4R4SBJ7	Two pore domain potassium channel family protein (Fragment) OS=Streptomyces hainanensis OX=402648 GN=E1283_36590 PE=4 SV=1	Streptomyces hainanensis	145	319	61.9	78.4	1.8e-35
126	TR	A0A286I794	Voltage-gated potassium channel OS=Streptomyces sp. 2323.1 OX=1938841 GN=SAMN06272775_6823 PE=4 SV=1	Streptomyces sp. 2323.1	164	318	59.4	79.2	4.5e-35
127	TR	A0A2M8XA68	Voltage-gated potassium channel OS=Streptomyces sp. 2333.5 OX=1938842 GN=BX264_0317 PE=4 SV=1	Streptomyces sp. 2333.5	164	316	59.4	79.2	9e-35
128	TR	A0A5C6WMW1	Two pore domain potassium channel family protein OS=Streptomyces sp. ISID311 OX=2601673 GN=FS847_14050 PE=4 SV=1	Streptomyces sp. ISID311	164	316	59.4	79.2	9e-35
129	TR	A0A4Q1QUH7	Two pore domain potassium channel family protein OS=Streptomyces sioyaensis OX=67364 GN=EST54_26510 PE=4 SV=1	Streptomyces sioyaensis	164	316	59.4	79.2	9e-35
