Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
33	TR	U3EP06	Mitogen-activated protein kinase 14 OS=Callithrix jacchus OX=9483 GN=MAPK14 PE=2 SV=1	Callithrix jacchus	360	1820	99.7	99.7	0.0
34	TR	K7AZV2	Mitogen-activated protein kinase 14 OS=Pan troglodytes OX=9598 GN=MAPK14 PE=2 SV=1	Pan troglodytes	360	1820	99.7	99.7	0.0
35	TR	A0A8D2KK45	Mitogen-activated protein kinase 14 OS=Urocitellus parryii OX=9999 GN=MAPK14 PE=4 SV=1	Urocitellus parryii	360	1820	99.7	99.7	0.0
36	TR	A0A5E4AV92	Mitogen-activated protein kinase 14 OS=Marmota monax OX=9995 GN=MONAX_5E009176 PE=4 SV=1	Marmota monax	360	1820	99.7	99.7	0.0
37	TR	A0A287CTH9	Mitogen-activated protein kinase 14 OS=Ictidomys tridecemlineatus OX=43179 GN=MAPK14 PE=4 SV=1	Ictidomys tridecemlineatus	360	1820	99.7	99.7	0.0
38	TR	A0A8D2AYV1	Mitogen-activated protein kinase 14 OS=Sciurus vulgaris OX=55149 PE=4 SV=1	Sciurus vulgaris	360	1820	99.7	99.7	0.0
39	TR	A0A8C0VWF6	Mitogen-activated protein kinase 14 OS=Castor canadensis OX=51338 GN=Mapk14 PE=4 SV=1	Castor canadensis	360	1820	99.7	99.7	0.0
40	SP	Q16539	Mitogen-activated protein kinase 14 OS=Homo sapiens OX=9606 GN=MAPK14 PE=1 SV=3	Homo sapiens	360	1820	99.7	99.7	0.0
41	TR	A0A8D2GP65	Mitogen-activated protein kinase 14 OS=Theropithecus gelada OX=9565 GN=MAPK14 PE=4 SV=1	Theropithecus gelada	360	1819	99.4	99.7	0.0
42	TR	A0A2K5KET4	Mitogen-activated protein kinase 14 OS=Colobus angolensis palliatus OX=336983 PE=4 SV=1	Colobus angolensis palliatus	360	1819	99.4	99.7	0.0
43	TR	A0A2K6LWM6	Mitogen-activated protein kinase 14 OS=Rhinopithecus bieti OX=61621 GN=MAPK14 PE=4 SV=1	Rhinopithecus bieti	360	1819	99.4	99.7	0.0
44	TR	A0A2K5WJW8	Mitogen-activated protein kinase 14 OS=Macaca fascicularis OX=9541 PE=4 SV=2	Macaca fascicularis	360	1819	99.4	99.7	0.0
45	TR	A0A8J8Y992	Mitogen-activated protein kinase 14 OS=Macaca fascicularis OX=9541 GN=EGM_13534 PE=4 SV=1	Macaca fascicularis	360	1819	99.4	99.7	0.0
46	TR	A0A0D9RCS6	Mitogen-activated protein kinase 14 OS=Chlorocebus sabaeus OX=60711 GN=MAPK14 PE=4 SV=1	Chlorocebus sabaeus	360	1819	99.4	99.7	0.0
47	TR	A0A8C6D1Z1	Mitogen-activated protein kinase 14 OS=Moschus moschiferus OX=68415 PE=4 SV=1	Moschus moschiferus	360	1819	99.4	99.7	0.0
48	TR	A0A8C9IAX1	Mitogen-activated protein kinase 14 OS=Piliocolobus tephrosceles OX=591936 GN=MAPK14 PE=4 SV=1	Piliocolobus tephrosceles	360	1819	99.4	99.7	0.0
49	TR	A0A096NHR3	Mitogen-activated protein kinase 14 OS=Papio anubis OX=9555 GN=MAPK14 PE=4 SV=1	Papio anubis	360	1819	99.4	99.7	0.0
50	TR	A0A2K5NMA9	Mitogen-activated protein kinase 14 OS=Cercocebus atys OX=9531 GN=MAPK14 PE=4 SV=1	Cercocebus atys	360	1819	99.4	99.7	0.0
